# Library
URL: /foundations/iconography/library
Source: https://github.com/daangn/seed-design/blob/dev/docs/content/foundations/iconography/library.mdx



## Monochrome Icons

| Icon Name | React Component Name | Figma Name | Keywords | Services | Tags |
| icon_article_line | IconArticleLine | Weight=Line | article, blog, news, note, 기사, 노트, 뉴스, 블로그, 아티클 |  |  |
| icon_asterisk_horizrectangle_coolwave3_fill | IconAsteriskHorizrectangleCoolwave3Fill | Weight=Fill | 에어컨, 냉방, 온도, 가전, 생활, air conditioner, cooling, temperature, appliance, lifestyle |  |  |
| icon_asterisk_horizrectangle_coolwave3_line | IconAsteriskHorizrectangleCoolwave3Line | Weight=Line | 에어컨, 냉방, 온도, 가전, 생활, air conditioner, cooling, temperature, appliance, lifestyle |  |  |
| icon_at_fill | IconAtFill | Weight=Fill | @, address, at, email, mention, 골뱅이, 그룹, 멘션, 모임, 이메일, 주소, 채팅 |  |  |
| icon_at_line | IconAtLine | Weight=Line | @, address, at, email, mention, 골뱅이, 그룹, 멘션, 모임, 이메일, 주소, 채팅 |  |  |
| icon_b_uppercase_fill | IconBUppercaseFill | Weight=Fill | edit, b, font, letter, bold, text, type, typo, uppercase, write, 글, 글자, 두께, 볼드, 알파벳, 작성, 타이포, 텍스트, 폰트 |  |  |
| icon_b_uppercase_line | IconBUppercaseLine | Weight=Line | edit, b, font, letter, bold, text, type, typo, uppercase, write, 글, 글자, 두께, 볼드, 알파벳, 작성, 타이포, 텍스트, 폰트 |  |  |
| icon_backspacekey_fill | IconBackspacekeyFill | Weight=Fill | backspace, delete, delete_keyboard, key, keyboard, 삭제, 지우기, 키, 키보드 |  |  |
| icon_backspacekey_line | IconBackspacekeyLine | Weight=Line | backspace, delete, delete_keyboard, key, keyboard, 삭제, 지우기, 키, 키보드 |  |  |
| icon_barchart_board_fill | IconBarchartBoardFill | Weight=Fill | bar chart, chart, graph, data, presentation, 막대 그래프, 차트, 데이터, 발표 |  |  |
| icon_barchart_board_line | IconBarchartBoardLine | Weight=Line | bar chart, chart, graph, data, presentation, 막대 그래프, 차트, 데이터, 발표 |  |  |
| icon_barchart_square_fill | IconBarchartSquareFill | Weight=Fill | ballot, bar chart, barchart, chart, data, graph, poll, statistics, vote, 데이터, 막대 그래프, 바차트, 차트, 통계, 투표 |  |  |
| icon_barchart_square_line | IconBarchartSquareLine | Weight=Line | ballot, bar chart, barchart, chart, data, graph, poll, statistics, vote, 데이터, 막대 그래프, 바차트, 차트, 통계, 투표 |  |  |
| icon_bed_frontside_fill | IconBedFrontsideFill | Weight=Fill | 침대, 가구, 집, 잠, bed, furniture, home, sleep |  |  |
| icon_bed_frontside_line | IconBedFrontsideLine | Weight=Line | 침대, 가구, 집, 잠, bed, furniture, home, sleep |  |  |
| icon_bell_fill | IconBellFill | Weight=Fill | alert, bell, noti, notification, 노티, 알림, 종 |  |  |
| icon_bell_line | IconBellLine | Weight=Line | alert, bell, noti, notification, 노티, 알림, 종 |  |  |
| icon_bell_slash_fill | IconBellSlashFill | Weight=Fill | bell, mute, noti_off, notification, notification_off, off, 끄기, 노티, 알림, 음소거, 종 |  |  |
| icon_bell_slash_line | IconBellSlashLine | Weight=Line | bell, mute, noti_off, notification, notification_off, off, 끄기, 노티, 알림, 음소거, 종 |  |  |
| icon_bluetooth_fill | IconBluetoothFill | Weight=Fill | headphone, speaker, earphone, 블루투스, 이어폰, 스피커, 헤드셋 |  |  |
| icon_bluetooth_line | IconBluetoothLine | Weight=Line | headphone, speaker, earphone, 블루투스, 이어폰, 스피커, 헤드셋 |  |  |
| icon_book_fill | IconBookFill | Weight=Fill | book, housekeeping_book, read, reading, 읽기, 책 |  |  |
| icon_book_line | IconBookLine | Weight=Line | book, housekeeping_book, read, reading, 읽기, 책 |  |  |
| icon_book_open_fill | IconBookOpenFill | Weight=Fill | book, mission, open, read, reading, 사전, 열림, 읽기, 책 |  |  |
| icon_book_open_line | IconBookOpenLine | Weight=Line | book, mission, open, read, reading, 사전, 열림, 읽기, 책 |  |  |
| icon_bookmark_fill | IconBookmarkFill | Weight=Fill | bookmark, favorite, save, scrap, 북마크, 스크랩, 저장, 좋아요 |  |  |
| icon_bookmark_line | IconBookmarkLine | Weight=Line | bookmark, favorite, save, scrap, 북마크, 스크랩, 저장, 좋아요 |  |  |
| icon_box_flap_fill | IconBoxFlapFill | Weight=Fill | 박스, 택배, 상자, 짐, 이사, 포장, alba, box, parcel, package, luggage, move, packing |  |  |
| icon_box_flap_line | IconBoxFlapLine | Weight=Line | 박스, 택배, 상자, 짐, 이사, 포장, alba, box, parcel, package, luggage, move, packing |  |  |
| icon_bracket_left_arrow_right_fill | IconBracketLeftArrowRightFill | Weight=Fill | arrow, bracket, exit, leave, left, logout, out, out of, right, signout, 괄호, 나가기, 밖으로, 오른쪽, 왼쪽, 탈퇴, 화살표 |  |  |
| icon_bracket_left_arrow_right_line | IconBracketLeftArrowRightLine | Weight=Line | arrow, bracket, exit, leave, left, logout, out, out of, right, signout, 괄호, 나가기, 밖으로, 오른쪽, 왼쪽, 탈퇴, 화살표 |  |  |
| icon_building2_fill | IconBuilding2Fill | Weight=Fill | apartment, building, company, condo, office, structure, 건물, 빌라, 사무실, 아파트, 주택, 콘도, 회사 |  |  |
| icon_building2_line | IconBuilding2Line | Weight=Line | apartment, building, company, condo, office, structure, 건물, 빌라, 사무실, 아파트, 주택, 콘도, 회사 |  |  |
| icon_building2_twosize_fill | IconBuilding2TwosizeFill | Weight=Fill | house, home, building, residential, property, real-estate, neighborhood, 집, 주택, 건물, 부동산, 주거 |  |  |
| icon_building2_twosize_line | IconBuilding2TwosizeLine | Weight=Line | house, home, building, residential, property, real-estate, neighborhood, 집, 주택, 건물, 부동산, 주거 |  |  |
| icon_calendar_fill | IconCalendarFill | Weight=Fill | calendar, date, schedule, 날짜, 달력, 일정 |  |  |
| icon_calendar_line | IconCalendarLine | Weight=Line | calendar, date, schedule, 날짜, 달력, 일정 |  |  |
| icon_camcorder_fill | IconCamcorderFill | Weight=Fill | camcorder, camera, media, record, video, 녹화, 동영상, 비디오, 카메라, 캠코더 |  |  |
| icon_camcorder_line | IconCamcorderLine | Weight=Line | camcorder, camera, media, record, video, 녹화, 동영상, 비디오, 카메라, 캠코더 |  |  |
| icon_camera_fill | IconCameraFill | Weight=Fill | camera, image, photo, picture, snap, 사진, 이미지, 촬영, 카메라, 포토 |  |  |
| icon_camera_line | IconCameraLine | Weight=Line | camera, image, photo, picture, snap, 사진, 이미지, 촬영, 카메라, 포토 |  |  |
| icon_car_fill | IconCarFill | Weight=Fill | 차, 자동차, 옆, car, side |  |  |
| icon_car_front_upside_wave2_reversed_up_fill | IconCarFrontUpsideWave2ReversedUpFill | Weight=Fill | aeb, car, front, sensor, up, 감지, 경보, 센서, 앞, 위, 전방, 중고차, 차 |  |  |
